time,open,high,low,close,"US05Y, TVC: Open","US05Y, TVC: High","US05Y, TVC: Low","US05Y, TVC: Close","US10Y, TVC: Open","US10Y, TVC: High","US10Y, TVC: Low","US10Y, TVC: Close","US30Y, TVC: Open","US30Y, TVC: High","US30Y, TVC: Low","US30Y, TVC: Close",Volume,Volume MA,SMA1,SMA2,SMA3,SMA4
1235572200,35.96001,36.71001,35.1815,35.94,1.885,2.03,1.852,1.996,2.801,2.961,2.777,2.932,3.48699999,3.48699999,3.48699999,3.48699999,NaN,NaN,37.10691899999979,41.429183599999995,43.95142899999994,54.735020649999996
1235658600,36.5,36.78999,35.35001,35.45,1.998,2.121,1.993,2.077,2.93,3.031,2.906,2.994,3.59200001,3.59200001,3.59200001,3.59200001,NaN,NaN,36.681918999999795,41.25358359999999,43.72972899999994,54.548820649999996
1235745000,34.59,35.25999,34.42,34.48,2.074,2.102,1.989,1.989,2.996,3.054,2.923,3.019,3.6789999,3.6789999,3.6789999,3.6789999,NaN,NaN,36.1719189999998,41.07438359999999,43.50782989999994,54.35857064999999
1236004200,33.89,33.89,32.655,32.7384,1.989,1.996,1.826,1.831,3.019,3.022,2.868,2.872,NaN,NaN,NaN,NaN,NaN,NaN,35.5528389999998,40.8101516,43.287313999999945,54.15726264999999
1236090600,33.2,33.31,32.08,32.25,1.824,1.926,1.813,1.836,2.87,2.976,2.861,2.879,3.60800004,3.60800004,3.60800004,3.60800004,NaN,NaN,35.0688389999998,40.54515159999999,43.102813999999945,53.95001264999999
1236177000,32.75999,33.47,32.23,32.85001,1.841,2.003,1.832,1.948,2.888,3.045,2.881,2.987,3.60800004,3.60800004,3.60800004,3.60800004,NaN,NaN,34.666839999999794,40.309152,42.932314199999944,53.746912699999996
1236263400,32,32.42999,31.09,31.42,1.943,1.97,1.783,1.801,2.984,3.023,2.786,2.811,3.66499996,3.66499996,3.66499996,3.66499996,NaN,NaN,34.1808399999998,40.047152,42.784014199999945,53.535762749999996
1236349800,31.83,32.295,30.62,31.52,1.8,1.888,1.75,1.888,2.817,2.888,2.768,2.885,3.50099993,3.50099993,3.50099993,3.50099993,NaN,NaN,33.753840999999795,39.805551799999996,42.63181409999995,53.32981269999999
1236605400,31,32.10001,31,31.16,1.887,1.95,1.85,1.88,2.874,2.94,2.848,2.861,NaN,NaN,NaN,NaN,NaN,NaN,33.398839999999794,39.56115179999999,42.43211409999994,53.12821269999999
1236691800,31.97,33.49001,31.94,33.42999,1.887,2.01,1.88,2.008,2.863,3.012,2.863,3.01,3.57399988,3.57399988,3.57399988,3.57399988,NaN,NaN,33.123839999999795,39.36615179999999,42.25391399999994,52.93658265
1236778200,33.89,34.256,33.17999,33.50999,2.006,2.05,1.927,1.94,3.008,3.043,2.888,2.899,3.72900009,3.72900009,3.72900009,3.72900009,NaN,NaN,32.880838999999796,39.1693514,42.120113899999936,52.7510326
1236864600,33.61,35.42,33.25,35.25,1.943,1.98,1.86,1.9,2.914,2.936,2.821,2.859,3.66100001,3.66100001,3.66100001,3.66100001,NaN,NaN,32.8608389999998,39.009151599999996,41.98791389999993,52.5715826
1236951000,35.69,35.87,34.9408,35.69,1.902,1.987,1.834,1.872,2.861,2.968,2.83,2.896,3.61199999,3.61199999,3.61199999,3.61199999,NaN,NaN,32.981838999999795,38.8361516,41.86317499999993,52.39328255
1237210200,36.25,36.89999,35.61,35.63,1.875,1.947,1.834,1.923,2.896,2.997,2.872,2.958,NaN,NaN,NaN,NaN,NaN,NaN,33.2709989999998,38.6451518,41.71767509999993,52.21143255
1237296600,35.82001,36.88,35.39,36.85001,1.915,1.997,1.898,1.987,2.949,3.016,2.907,3.014,3.75999999,3.75999999,3.75999999,3.75999999,NaN,NaN,33.730999999999796,38.4573518,41.597475199999934,52.036632600000004
1237383000,36.72,38.5,36.41,38.06,1.982,1.988,1.5,1.538,3.012,3.023,2.469,2.517,3.8269999,3.8269999,3.8269999,3.8269999,NaN,NaN,34.2519989999998,38.299551799999996,41.51567509999993,51.87158255
1237469400,38.67999,38.67999,37.11,37.14999,1.575,1.647,1.512,1.644,2.545,2.608,2.466,2.604,3.54200006,3.54200006,3.54200006,3.54200006,NaN,NaN,34.824997999999795,38.1153516,41.42157499999993,51.7043825
1237555800,37.35001,37.41,36.21001,36.32001,1.649,1.665,1.589,1.655,2.613,2.656,2.556,2.649,3.63599992,3.63599992,3.63599992,3.63599992,NaN,NaN,35.304998999999796,37.943951799999994,41.33777509999994,51.533082549999996
1237815000,37.49001,39.23,37.3,39.21001,1.648,1.706,1.645,1.691,2.64,2.69,2.611,2.669,NaN,NaN,NaN,NaN,NaN,NaN,36.1099999999998,37.8279522,41.295475199999935,51.370532600000004
1237901400,38.62,39.36,38.3,38.33,1.691,1.764,1.681,1.729,2.658,2.752,2.645,2.703,3.69099998,3.69099998,3.69099998,3.69099998,NaN,NaN,36.6000009999998,37.7137524,41.197875199999935,51.2159326
1237987800,38.34,39.10001,37.16,38.23,1.729,1.839,1.706,1.815,2.705,2.812,2.683,2.792,3.63499999,3.63499999,3.63499999,3.63499999,NaN,NaN,37.0720019999998,37.6211524,41.110375199999936,51.0623326
1238074200,38.95,39.285,38.28,39.21001,1.82,1.884,1.777,1.801,2.799,2.837,2.721,2.744,3.74399996,3.74399996,3.74399996,3.74399996,NaN,NaN,37.4680029999998,37.5485526,41.016075299999926,50.91383265
1238160600,38.72,38.97,38.32001,38.48,1.806,1.823,1.757,1.804,2.744,2.788,2.703,2.763,3.65799999,3.65799999,3.65799999,3.65799999,NaN,NaN,37.7470029999998,37.489752599999996,40.90417529999993,50.76888265
1238419800,37.52,37.52,36.5,36.84,1.804,1.804,1.724,1.731,2.764,2.764,2.676,2.717,NaN,NaN,NaN,NaN,NaN,NaN,37.8680029999998,37.404352599999996,40.77597529999993,50.61408265000001
1238506200,37.34,38.03799,36.96001,37.2,1.732,1.765,1.655,1.66,2.723,2.752,2.663,2.667,3.60100007,3.60100007,3.60100007,3.60100007,NaN,NaN,37.9030019999998,37.3243526,40.63157529999992,50.45618265000001
1238592600,36.99001,38.31,36.782,38.09,1.662,1.7,1.639,1.65,2.67,2.699,2.636,2.661,3.53699994,3.53699994,3.53699994,3.53699994,NaN,NaN,37.9060019999998,37.31115259999999,40.525075199999925,50.30268270000001
1238679000,39.2,39.77,38.96001,39.24001,1.649,1.773,1.641,1.754,2.661,2.775,2.627,2.764,3.49900007,3.49900007,3.49900007,3.49900007,NaN,NaN,38.1150039999998,37.2845526,40.45487539999992,50.15916780000001
