time,open,high,low,close,"US05Y, TVC: Open","US05Y, TVC: High","US05Y, TVC: Low","US05Y, TVC: Close","US10Y, TVC: Open","US10Y, TVC: High","US10Y, TVC: Low","US10Y, TVC: Close","US30Y, TVC: Open","US30Y, TVC: High","US30Y, TVC: Low","US30Y, TVC: Close",Volume,Volume MA,SMA1,SMA2,SMA3,SMA4
959002200,59.60937,59.60937,59.3125,59.3125,6.66499996,6.70599985,6.64099979,6.64099979,6.44999981,6.47900009,6.32700014,6.32700014,6.1880002,6.19799995,6.11399984,6.11399984,NaN,NaN,NaN,NaN,NaN,NaN
959693400,59.90625,62.59375,59.90625,62.28125,6.62900019,6.62900019,6.43900013,6.43900013,6.38000011,6.38000011,6.16900015,6.16900015,6.09499979,6.09499979,5.9460001,5.9460001,NaN,NaN,NaN,NaN,NaN,NaN
960211800,62.34375,62.34375,61.15625,61.15625,6.36399984,6.37300014,6.35099983,6.36100006,6.11600018,6.15199995,6.11600018,6.12599993,5.91900015,5.91900015,5.8920002,5.8920002,NaN,NaN,NaN,NaN,NaN,NaN
960816600,61.5625,61.98437,59.95312,60.04687,6.31400013,6.31899977,6.25600004,6.26300001,6.079,6.11299992,5.98000002,5.98000002,5.87699986,5.94500017,5.87699986,5.92299986,NaN,NaN,NaN,NaN,NaN,NaN
961421400,60.25,60.59375,59.01562,59.01562,6.20499992,6.31500006,6.20499992,6.31500006,6.00299978,6.18499994,6.00299978,6.18499994,5.89599991,5.96600008,5.89599991,5.96600008,NaN,NaN,NaN,NaN,NaN,NaN
962026200,59.53125,59.85937,58.5,58.51562,6.29199982,6.29199982,6.19700003,6.19700003,6.10200024,6.10599995,6.02699995,6.02699995,5.98199987,5.98199987,5.87799978,5.87799978,NaN,NaN,NaN,NaN,NaN,NaN
962631000,58.375,60.14062,58.375,60.03125,6.12599993,6.17000008,6.12599993,6.17000008,5.99100018,6.05000019,5.98400021,6.01499987,5.86199999,5.90999985,5.86199999,5.90999985,NaN,NaN,NaN,NaN,NaN,NaN
963235800,60.29687,61.21875,60.07812,61.15625,6.13600016,6.18499994,6.13100004,6.13100004,6.04300022,6.10099983,6.0079999,6.10099983,5.88600016,5.88700008,5.81799984,5.81799984,NaN,NaN,NaN,NaN,NaN,NaN
963840600,60.875,60.90625,60.07812,60.07812,6.3039999,6.3039999,6.14599991,6.14599991,6.15199995,6.16499996,5.99800014,5.99800014,5.91699982,5.91699982,5.8119998,5.8119998,NaN,NaN,NaN,NaN,NaN,NaN
964445400,60.20312,60.32812,58.71875,58.71875,6.17000008,6.17000008,6.13000011,6.13000011,6.03100014,6.03599977,6.00400019,6.03599977,5.81599998,5.81599998,5.77199984,5.77199984,NaN,NaN,60.031248000000005,NaN,NaN,NaN
