time,open,high,low,close,"US07Y, TVC: Open","US07Y, TVC: High","US07Y, TVC: Low","US07Y, TVC: Close","US05Y, TVC: Open","US05Y, TVC: High","US05Y, TVC: Low","US05Y, TVC: Close","US30Y, TVC: Open","US30Y, TVC: High","US30Y, TVC: Low","US30Y, TVC: Close","US10Y, TVC: Open","US10Y, TVC: High","US10Y, TVC: Low","US10Y, TVC: Close",Volume,Volume MA
2009-07-23T13:30:00Z,38.45,39.49001,38.39,39.35001,3.091,3.29,3.076,3.235,2.401,2.589,2.384,2.542,4.44399977,4.44399977,4.44399977,4.44399977,3.546,3.718,3.515,3.667,160566432,116909934.4
2009-07-24T13:30:00Z,38.92999,39.37,38.77991,39.05,3.232,3.283,3.217,3.224,2.547,2.591,2.523,2.532,4.55000019,4.55000019,4.55000019,4.55000019,3.664,3.705,3.646,3.658,109312256,116748640.8
2009-07-27T13:30:00Z,39.28999,39.41,38.87,39.35001,3.232,3.347,3.222,3.298,2.55,2.644,2.537,2.593,NaN,NaN,NaN,NaN,3.666,3.768,3.658,3.727,94718560,117100703.2
2009-07-28T13:30:00Z,39.17999,39.59,38.92999,39.08,3.301,3.326,3.197,3.288,2.594,2.63,2.503,2.606,4.62699986,4.62699986,4.62699986,4.62699986,3.717,3.747,3.621,3.688,111564256,117988037.6
2009-07-29T13:30:00Z,39.32001,39.42999,39,39.34,3.288,3.382,3.229,3.303,2.606,2.719,2.554,2.639,4.55000019,4.55000019,4.55000019,4.55000019,3.69,3.739,3.627,3.666,126538192,119422796.8
2009-07-30T13:30:00Z,39.74001,40.17999,39.50999,39.57001,3.306,3.382,3.245,3.25,2.676,2.75,2.632,2.634,4.51100016,4.51100016,4.51100016,4.51100016,3.67,3.731,3.611,3.615,108969808,120572493.6
2009-07-31T13:30:00Z,39.56,39.8522,39.41,39.45,3.278,3.323,3.132,3.147,2.634,2.681,2.508,2.523,4.41800022,4.41800022,4.41800022,4.41800022,3.614,3.651,3.478,3.487,78208320,118817422.4
2009-08-03T13:30:00Z,39.85001,40.06,39.64,40.03999,3.147,3.356,3.147,3.3,2.516,2.726,2.516,2.666,NaN,NaN,NaN,NaN,3.485,3.669,3.485,3.637,111722688,119021932
2009-08-04T13:30:00Z,39.86,40.19,39.77,40.03999,3.298,3.379,3.25,3.341,2.669,2.737,2.619,2.703,4.40500021,4.40500021,4.40500021,4.40500021,3.635,3.732,3.59,3.69,100690752,116567819.2
2009-08-05T13:30:00Z,40.13,40.14,39.46001,39.73,3.346,3.415,3.27,3.394,2.703,2.774,2.622,2.733,4.46600008,4.46600008,4.46600008,4.46600008,3.691,3.77,3.641,3.762,118093008,114833651.2
2009-08-06T13:30:00Z,39.78999,39.92999,39.24001,39.38,3.384,3.43,3.333,3.382,2.718,2.76,2.676,2.711,4.5619998,4.5619998,4.5619998,4.5619998,3.754,3.802,3.699,3.758,116937440,115787951.2
2009-08-07T13:30:00Z,39.91,40.07001,39.59,39.88,3.377,3.533,3.359,3.489,2.72,2.875,2.691,2.825,4.53599977,4.53599977,4.53599977,4.53599977,3.754,3.888,3.737,3.858,107512256,115739467.2
2009-08-10T13:30:00Z,39.73,39.85001,39.34,39.60001,3.484,3.538,3.384,3.407,2.827,2.866,2.727,2.749,NaN,NaN,NaN,NaN,3.856,3.893,3.763,3.778,87163120,113740607.2
2009-08-11T13:30:00Z,39.42,39.5,39.05,39.25999,3.412,3.435,3.308,3.316,2.752,2.776,2.662,2.673,4.52199984,4.52199984,4.52199984,4.52199984,3.785,3.805,3.67,3.674,91922688,112555160
2009-08-12T13:30:00Z,39.21001,40.22,39.2,39.87,3.316,3.428,3.268,3.336,2.678,2.769,2.629,2.676,4.43900013,4.43900013,4.43900013,4.43900013,3.678,3.791,3.638,3.715,147239936,111873672.8
2009-08-13T13:30:00Z,40.10001,40.16,39.64,40.09,3.339,3.395,3.192,3.222,2.688,2.732,2.558,2.568,4.53399992,4.53399992,4.53399992,4.53399992,3.729,3.776,3.589,3.61,110107008,111386901.6
2009-08-14T13:30:00Z,39.89,39.96001,39.28,39.63,3.222,3.242,3.099,3.187,2.561,2.583,2.44,2.512,4.43200016,4.43200016,4.43200016,4.43200016,3.601,3.627,3.494,3.574,124480128,112365589.6
2009-08-17T13:30:00Z,38.97,39.00999,38.46001,38.48,3.177,3.184,3.071,3.091,2.504,2.514,2.398,2.416,NaN,NaN,NaN,NaN,3.576,3.576,3.467,3.472,131797184,114097011.2
2009-08-18T13:30:00Z,38.72,39.98,38.61,39.03,3.089,3.139,3.084,3.126,2.411,2.478,2.41,2.463,4.32600021,4.32600021,4.32600021,4.32600021,3.474,3.533,3.47,3.52,84607808,111798020
