time,open,high,low,close,"US07Y, TVC: Open","US07Y, TVC: High","US07Y, TVC: Low","US07Y, TVC: Close","US05Y, TVC: Open","US05Y, TVC: High","US05Y, TVC: Low","US05Y, TVC: Close","US30Y, TVC: Open","US30Y, TVC: High","US30Y, TVC: Low","US30Y, TVC: Close","US10Y, TVC: Open","US10Y, TVC: High","US10Y, TVC: Low","US10Y, TVC: Close",Volume,Volume MA
2017-09-11T13:30:00Z,145.32,146.1,145.32,145.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,748567,391754.2
2017-09-11T14:30:00Z,145.97,145.975,145.405,145.54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,365990,399492.95
2017-09-11T15:30:00Z,145.52,145.81,145.51,145.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,227663,399313.75
2017-09-11T16:30:00Z,145.76,145.94,145.76,145.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,203732,401062.35
2017-09-11T17:30:00Z,145.83,145.94,145.79,145.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95178,385342.7
2017-09-11T18:30:00Z,145.81,145.88,145.66,145.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,263413,380754.85
2017-09-11T19:30:00Z,145.83,145.83,145.68,145.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,314594,365413.4
2017-09-12T13:30:00Z,146.28,146.41,145.66,145.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,749325,371789.6
2017-09-12T14:30:00Z,145.86,145.97,145.66,145.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,301459,367409.1
2017-09-12T15:30:00Z,145.93,145.975,145.77,145.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,228802,350455.95
2017-09-12T16:30:00Z,145.95,146.09,145.9,146.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,268446,356886.75
2017-09-12T17:30:00Z,146.09,146.28,145.95,145.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,308067,363538.35
2017-09-12T18:30:00Z,145.95,145.97,145.53,145.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,571418,379244.65
2017-09-12T19:30:00Z,145.91,146.21,145.88,146.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,322310,355504.15
2017-09-13T13:30:00Z,145.97,146.26,145.74,146.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1044016,394069.95
2017-09-13T14:30:00Z,146.07,146.22,145.99,146.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,310780,391542.65
2017-09-13T15:30:00Z,146.11,146.13,145.8,146.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,169611,390737.25
2017-09-13T16:30:00Z,146.09,146.29,146.04,146.225,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,276190,388221.2
2017-09-13T17:30:00Z,146.225,146.26,146.11,146.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99565,372214.9
2017-09-13T18:30:00Z,146.21,146.26,146.09,146.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94790,348195.8
2017-09-13T19:30:00Z,146.17,146.43,146.12,146.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,282450,324889.95
2017-09-14T13:30:00Z,145.87,145.97,145.49,145.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,698952,341538.05
2017-09-14T14:30:00Z,145.84,146.285,145.84,146.19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,246163,342463.05
2017-09-14T15:30:00Z,146.19,146.19,145.7,145.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,184874,341520.15
2017-09-14T16:30:00Z,145.77,145.95,145.76,145.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,168401,345181.3
2017-09-14T17:30:00Z,145.85,145.86,145.68,145.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,173944,340707.85
2017-09-14T18:30:00Z,145.78,145.85,145.64,145.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,376945,343825.4
2017-09-14T19:30:00Z,145.69,145.73,145.48,145.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,408576,326787.95
2017-09-15T13:30:00Z,145.57,145.77,145.3,145.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,617909,342610.45
2017-09-15T14:30:00Z,145.705,146.59,145.685,146.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,440852,353212.95
2017-09-15T15:30:00Z,146.275,146.31,146.13,146.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,184091,348995.2
2017-09-15T16:30:00Z,146.23,146.23,146.005,146.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,129281,340055.9
2017-09-15T17:30:00Z,146.05,146.07,145.89,145.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,109745,316972.25
2017-09-15T18:30:00Z,145.96,146.15,145.92,146.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,303664,316039.95
2017-09-15T19:30:00Z,146.01,146.07,145.94,146,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,663338,297006.05
2017-09-18T13:30:00Z,145.87,146.36,145.76,146.17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,405121,301723.1
2017-09-18T14:30:00Z,146.18,146.29,145.98,146.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,394073,312946.2
2017-09-18T15:30:00Z,146.28,146.28,146.17,146.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,210841,309678.75
2017-09-18T16:30:00Z,146.23,146.23,146.02,146.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,114747,310437.85
2017-09-18T17:30:00Z,146.02,146.15,145.44,145.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,308869,321141.8
2017-09-18T18:30:00Z,145.52,145.56,145.11,145.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,465257,330282.15
2017-09-18T19:30:00Z,145.5,145.68,145.42,145.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,193732,305021.15
2017-09-19T13:30:00Z,145.81,145.87,145.32,145.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,965125,340969.25
