time,open,high,low,close,"DE05Y, TVC: Open","DE05Y, TVC: High","DE05Y, TVC: Low","DE05Y, TVC: Close","DE30Y, TVC: Open","DE30Y, TVC: High","DE30Y, TVC: Low","DE30Y, TVC: Close","DE10Y, TVC: Open","DE10Y, TVC: High","DE10Y, TVC: Low","DE10Y, TVC: Close",Volume,Volume MA
1386230400,9110.53,9172.16,9078,9084.95,0.75400001,0.838,0.74400002,0.824,2.69700003,2.73900008,2.69099998,2.727,1.81299996,1.86899996,1.79999995,1.86099994,NaN,NaN
1386316800,9126.15,9195.75,9084.12,9172.41,0.83399999,0.861,0.80299997,0.80699998,2.74099994,2.75300002,2.69199991,2.70099998,1.875,1.89100003,1.83500004,1.83700001,NaN,NaN
1386576000,9218.81,9225.53,9171.36,9195.17,0.81400001,0.829,0.79400003,0.80900002,2.71199989,2.72600007,2.69899988,2.71000004,1.847,1.85500002,1.829,1.84200001,NaN,NaN
1386662400,9180.29,9223.73,9091.97,9114.44,0.80900002,0.81099999,0.78500003,0.80199999,2.71399999,2.71399999,2.69499993,2.70900011,1.84500003,1.84500003,1.81500006,1.83599997,NaN,NaN
1386748800,9093.26,9153.14,9065.51,9077.11,0.80500001,0.81,0.792,0.80199999,2.70900011,2.71499991,2.68799996,2.69300008,1.83700001,1.84500003,1.82200003,1.82500005,NaN,NaN
1386835200,9032.67,9060.54,8984.28,9017,0.824,0.838,0.79400003,0.82700002,2.70000005,2.71199989,2.68000007,2.69499993,1.84000003,1.85500002,1.81599998,1.84200001,NaN,NaN
1386921600,9016.78,9046.63,8990.58,9006.46,0.824,0.84200001,0.81699997,0.81900001,2.69499993,2.704,2.67499995,2.68499994,1.83700001,1.852,1.82700002,1.82799995,NaN,NaN
1387180800,9004.62,9187.78,8997.75,9163.56,0.81300002,0.83499998,0.80599999,0.82300001,2.67000008,2.69400001,2.66400003,2.68300009,1.81700003,1.84200001,1.81200004,1.83399999,NaN,NaN
1387267200,9142.75,9161.8,9085.12,9085.12,0.83099997,0.83600003,0.79799998,0.80500001,2.68300009,2.68799996,2.671,2.67799997,1.83800006,1.84599996,1.82000005,1.82799995,NaN,NaN
1387353600,9145.35,9190.73,9122.05,9181.75,0.81099999,0.84799999,0.787,0.84399998,2.67600012,2.68600011,2.65499997,2.6730001,1.83000004,1.84800005,1.81700003,1.84099996,NaN,NaN
1387440000,9279.68,9351.9,9257.24,9335.74,0.84399998,0.88,0.82999998,0.86199999,2.68700004,2.71700001,2.66899991,2.71199989,1.85399997,1.88999999,1.84000003,1.87600005,NaN,NaN
1387526400,9371.08,9413.09,9352.98,9400.18,0.866,0.91000003,0.86400002,0.87699997,2.70300007,2.72099996,2.6789999,2.68899989,1.87899995,1.90600002,1.86199999,1.86600006,NaN,NaN
1387785600,9436.49,9488.82,9427.54,9488.82,0.889,0.91000003,0.88499999,0.88700002,2.70300007,2.72099996,2.68799996,2.69400001,1.87699997,1.89400005,1.86899996,1.88199997,NaN,NaN
1388131200,9558.55,9589.39,9548.89,9589.39,0.90100002,0.95999998,0.89700001,0.95899999,2.7190001,2.77099991,2.71300006,2.76300001,1.90199995,1.954,1.90199995,1.95099998,NaN,NaN
1388390400,9586.53,9594.35,9552.16,9552.16,0.96399999,0.96700001,0.92400002,0.92699999,2.773,2.78299999,2.73900008,2.75500011,1.96099997,1.96399999,1.93700004,1.94099998,NaN,NaN
1388649600,9598.25,9620.93,9394.21,9400.04,0.95999998,0.96899998,0.92699999,0.93699998,2.7809999,2.78999996,2.74399996,2.76399994,1.96300006,1.97099996,1.93299997,1.94599998,NaN,NaN
1388736000,9409.66,9453.48,9367.99,9435.15,0.93599999,0.94499999,0.92299998,0.926,2.76300001,2.78999996,2.75,2.77800012,1.94099998,1.95799994,1.92900002,1.94400001,NaN,NaN
1388995200,9419.44,9468.8,9399.81,9428,0.92199999,0.92299998,0.88499999,0.89399999,2.77999997,2.77999997,2.74399996,2.74699998,1.92700005,1.92799997,1.90499997,1.90799999,NaN,NaN
1389081600,9446.25,9518.72,9416.86,9506.2,0.89499998,0.903,0.875,0.88,2.74000001,2.75099993,2.72300005,2.73200011,1.90699995,1.91199994,1.88100004,1.88900006,NaN,NaN
1389168000,9512.79,9516.26,9467.95,9497.84,0.88,0.90899998,0.861,0.90200001,2.73699999,2.75300002,2.72399998,2.75099993,1.89300001,1.90999997,1.87300003,1.90499997,NaN,NaN
1389254400,9492.24,9549.5,9402.8,9421.61,0.91100001,0.93000001,0.866,0.89999998,2.75,2.78500009,2.73399997,2.76900005,1.90699995,1.92999995,1.88300002,1.90999997,NaN,NaN
1389340800,9473.87,9529.7,9441.25,9473.24,0.89300001,0.898,0.82300001,0.83200002,2.76300001,2.77200007,2.73099995,2.73799992,1.903,1.90400004,1.83899999,1.84599996,NaN,NaN
1389600000,9497.92,9519.3,9457.31,9510.17,0.829,0.84200001,0.80000001,0.80400002,2.73000002,2.74499989,2.70700002,2.70900011,1.84099996,1.85399997,1.81500006,1.81700003,NaN,NaN
1389686400,9391.46,9540.51,9381.94,9540.51,0.80000001,0.815,0.79000002,0.80900002,2.7019999,2.71099997,2.69300008,2.69899988,1.80599999,1.82200003,1.80200005,1.81599998,NaN,NaN
1389772800,9590.57,9747.4,9582.1,9733.81,0.824,0.83999997,0.80199999,0.82700002,2.70600009,2.72300005,2.69300008,2.70900011,1.82799995,1.84300005,1.80700004,1.82700002,NaN,NaN
1389859200,9742.21,9747.37,9702.97,9717.71,0.82499999,0.82700002,0.76700002,0.76899999,2.71000004,2.71099997,2.67199993,2.67400002,1.82500005,1.82700002,1.77400005,1.77699995,NaN,NaN
1389945600,9718.2,9789.89,9709.14,9742.96,0.87199998,0.875,0.84100002,0.84200001,2.67499995,2.6789999,2.65499997,2.65700006,1.778,1.77999997,1.75100005,1.755,NaN,NaN
1390204800,9713.2,9733.4,9672.32,9715.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1390291200,9751.98,9794.05,9714.02,9730.12,0.833,0.84799999,0.81900001,0.81999999,2.64599991,2.65799999,2.63000011,2.63400006,1.75,1.773,1.73899996,1.74300003,NaN,NaN
1390377600,9752.11,9765.63,9677.14,9720.11,0.833,0.84500003,0.815,0.838,2.64400005,2.65799999,2.62599993,2.65499997,1.75,1.76800001,1.73800004,1.755,NaN,NaN
1390464000,9690.51,9728.78,9596.49,9631.04,0.83499998,0.84500003,0.801,0.80800003,2.6500001,2.65799999,2.60500002,2.61199999,1.75,1.76499999,1.704,1.71399999,NaN,NaN
1390550400,9646.65,9664.24,9374.08,9392.02,0.78100002,0.78899997,0.73299998,0.74800003,2.58999991,2.602,2.54999995,2.55900002,1.68299997,1.69500005,1.63800001,1.65499997,NaN,NaN
1390809600,9389.17,9402.72,9310.99,9349.22,0.76099998,0.77600002,0.75,0.76499999,2.56699991,2.5769999,2.55800009,2.56999993,1.66199994,1.68299997,1.65699995,1.671,NaN,NaN
1390896000,9405.53,9427.59,9345.76,9406.91,0.76700002,0.78200001,0.75700003,0.76300001,2.56999993,2.57800007,2.56200004,2.56399989,1.67799997,1.69599998,1.66999996,1.67700005,NaN,NaN
1390982400,9507.35,9537.63,9221.3,9336.73,0.76700002,0.78299999,0.72000003,0.72000003,2.57800007,2.57999992,2.53900003,2.53900003,1.68900001,1.699,1.63699996,1.64400005,NaN,NaN
1391068800,9343.51,9415.48,9266.95,9373.48,0.71600002,0.73100001,0.69099998,0.70700002,2.52900004,2.54900002,2.51699996,2.52699995,1.63,1.64400005,1.60300004,1.61899996,NaN,NaN
1391155200,9339.84,9346.79,9166.05,9306.48,0.69999999,0.70300001,0.64499998,0.65100002,2.51699996,2.523,2.47000003,2.49000001,1.699,1.70200002,1.64499998,1.65900004,NaN,NaN
1391414400,9318.77,9357.58,9173.56,9186.52,0.65200001,0.676,0.64499998,0.65799999,2.48699999,2.51300001,2.4749999,2.48399997,1.65900004,1.68099999,1.64400005,1.64900005,NaN,NaN
1391500800,9126.46,9166.98,9071.25,9127.91,0.64200002,0.66399997,0.63599998,0.65200001,2.47300005,2.49099994,2.46799994,2.48099995,1.63300002,1.65900004,1.63,1.65100002,NaN,NaN
1391587200,9105.28,9154.72,9080.87,9116.32,0.64899999,0.66000003,0.61299998,0.64700001,2.48099995,2.48900008,2.43400002,2.47399998,1.64699996,1.65199995,1.59899998,1.64100003,NaN,NaN
1391673600,9166.46,9274.46,9128.97,9256.58,0.64999998,0.73299998,0.648,0.71200001,2.48200011,2.52900004,2.477,2.523,1.64900005,1.70500004,1.63800001,1.69500005,NaN,NaN
1391760000,9275.38,9323.24,9223.21,9301.92,0.71399999,0.71399999,0.64700001,0.66600001,2.52600002,2.52600002,2.47900009,2.49799991,1.69099998,1.69299996,1.64900005,1.66100001,NaN,NaN
1392019200,9331.71,9346.13,9280.18,9289.86,0.66799998,0.68900001,0.65899998,0.68400002,2.5,2.52900004,2.49499989,2.52600002,1.66700006,1.68599999,1.65499997,1.68200004,NaN,NaN
1392105600,9338.8,9478.77,9338.01,9478.77,0.68800002,0.70300001,0.676,0.68199998,2.53200006,2.54399991,2.51699996,2.53399992,1.69400001,1.70200002,1.67700005,1.68700004,NaN,NaN
1392192000,9505.12,9594.85,9501.96,9540,0.69199997,0.70999998,0.67199999,0.708,2.5309999,2.56699991,2.52900004,2.56399989,1.69200003,1.72599995,1.67999995,1.72399998,NaN,NaN
1392278400,9522.66,9600.64,9479.86,9596.77,0.69499999,0.69599998,0.64499998,0.66000003,2.55100012,2.55100012,2.51600003,2.52999997,1.69599998,1.70200002,1.65400004,1.671,NaN,NaN
1392364800,9615.52,9677.53,9593.37,9662.4,0.66000003,0.69,0.65499997,0.68199998,2.52699995,2.55200005,2.52600002,2.54699993,1.66999996,1.69400001,1.66600001,1.68700004,NaN,NaN
1392624000,9661.8,9682.19,9645.51,9656.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
